"","EVENT_TYPE","n","year"
"1","Tornado",223,1950
"2","Tornado",269,1951
"3","Tornado",272,1952
"4","Tornado",492,1953
"5","Tornado",609,1954
"6","Hail",360,1955
"7","Thunderstorm Wind",421,1955
"8","Tornado",632,1955
"9","Hail",401,1956
"10","Thunderstorm Wind",735,1956
"11","Tornado",567,1956
"12","Hail",479,1957
"13","Thunderstorm Wind",775,1957
"14","Tornado",930,1957
"15","Hail",706,1958
"16","Thunderstorm Wind",899,1958
"17","Tornado",608,1958
"18","Hail",531,1959
"19","Thunderstorm Wind",652,1959
"20","Tornado",630,1959
"21","Hail",581,1960
"22","Thunderstorm Wind",719,1960
"23","Tornado",645,1960
"24","Hail",722,1961
"25","Thunderstorm Wind",752,1961
"26","Tornado",772,1961
"27","Hail",886,1962
"28","Thunderstorm Wind",830,1962
"29","Tornado",673,1962
"30","Hail",652,1963
"31","Thunderstorm Wind",823,1963
"32","Tornado",493,1963
"33","Hail",679,1964
"34","Thunderstorm Wind",909,1964
"35","Tornado",760,1964
"36","Hail",801,1965
"37","Thunderstorm Wind",1044,1965
"38","Tornado",990,1965
"39","Hail",732,1966
"40","Thunderstorm Wind",1050,1966
"41","Tornado",606,1966
"42","Hail",764,1967
"43","Thunderstorm Wind",958,1967
"44","Tornado",966,1967
"45","Hail",1068,1968
"46","Thunderstorm Wind",1529,1968
"47","Tornado",715,1968
"48","Hail",766,1969
"49","Thunderstorm Wind",1510,1969
"50","Tornado",650,1969
"51","Hail",721,1970
"52","Thunderstorm Wind",1794,1970
"53","Tornado",700,1970
"54","Hail",964,1971
"55","Thunderstorm Wind",1544,1971
"56","Tornado",963,1971
"57","Hail",681,1972
"58","Thunderstorm Wind",712,1972
"59","Tornado",778,1972
"60","Hail",1098,1973
"61","Thunderstorm Wind",2157,1973
"62","Tornado",1198,1973
"63","Hail",1656,1974
"64","Thunderstorm Wind",2599,1974
"65","Tornado",1120,1974
"66","Hail",1374,1975
"67","Thunderstorm Wind",2639,1975
"68","Tornado",962,1975
"69","Hail",1091,1976
"70","Thunderstorm Wind",1742,1976
"71","Tornado",935,1976
"72","Hail",1083,1977
"73","Thunderstorm Wind",1723,1977
"74","Tornado",922,1977
"75","Hail",1024,1978
"76","Thunderstorm Wind",1758,1978
"77","Tornado",875,1978
"78","Hail",1315,1979
"79","Thunderstorm Wind",2046,1979
"80","Tornado",918,1979
"81","Hail",1985,1980
"82","Thunderstorm Wind",3179,1980
